"","ENTREES","Genre","copies","DEVIS","distrib","produc","origine","AE","RD","coc","rang","duree","cannes","regard","quinzaine","venise","berlin","critlegit","critpopu","nbcritiques","rk_entrees","rk_copies","rk_devis","categ.copies"
"9278",712102,"Comédie",501,13143951,"majorFR","majorFR","F100","0","0","TP",6,98,"0","0","0","0","0",1.66666666666667,3.33333333333333,0.666666666666667,88.0079806783577,93.9838325215048,68.0099857346648,"[400,600)"
"9279",2205584,"Comédie",727,24754646,"majorFR","majorFR","MAJO","0","0","TP",14,110,"0","0","0","0","0",1.25,3,0.466666666666667,96.6922188386013,98.4868898331433,79.8145506419401,"[600,1100]"
"9280",9865,"ComDram",102,3992019,"majorFR","majorFR","MAJO","0","0","TP",2,83,"0","0","0","0","0",3.2,4,0.666666666666667,29.7595295600126,61.8768784329982,39.90727532097,"[100,200)"
"9281",405288,"ComDram",287,7999131,"majorFR","majorFR","MAJO","0","0","TP",3,100,"0","0","0","0","0",3,3.5,0.8,81.2349049669222,82.8583272878018,57.0970042796006,"[200,400)"
"9282",23629,"Action",89,5528369,"majorFR","9","F100","0","0","12",2,82,"0","0","0","0","0",3.5,3,0.6,41.8355560222619,59.4206653539227,49.0014265335235,"[50,100)"
"9283",65511,"ComDram",230,7435039,"majorFR","majorFR","MAJO","0","0","TP",3,89,"0","0","0","0","0",1,1.66666666666667,0.4,56.2112779586265,77.7904446056586,55.1176890156919,"[200,400)"
"9284",1961247,"Comédie",630,15922715,"majorFR","9","F100","0","0","TP",6,95,"0","0","0","0","0",2.4,3.66666666666667,0.733333333333333,96.1986768875354,97.0359622758835,70.916547788873,"[600,1100]"
"9285",747311,"Comédie",372,6004079,"majorFR","2","F100","0","0","TP",3,99,"0","0","0","0","0",NA,3,0.333333333333333,88.5960306626063,88.579127370712,50.5171184022825,"[200,400)"
"9286",314193,"Drame",124,NA,"majorFR","9","F100","1","0","TP",4,104,"0","0","0","0","0",3,3.5,0.8,77.5280898876404,64.93419007151,NA,"[100,200)"
"9287",893178,"Comédie",394,10798539,"majorFR","5","F100","0","0","TP",1,94,"0","0","0","0","0",2,4,0.2,90.4336868633834,89.5222302829309,63.7303851640513,"[200,400)"
"9288",112212,"Comédie",248,7232594,"majorFR","9","MAJO","0","0","TP",7,92,"0","0","0","0","0",NA,NA,0,63.8349259687073,79.6662866618302,54.4222539229672,"[200,400)"
"9289",189905,"Comédie",351,NA,"majorFR","9","USA","0","0","TP",11,118,"0","0","0","0","0",NA,3,0.0666666666666667,70.8915257796913,87.5427505440978,NA,"[200,400)"
"9290",141803,"Autre",92,NA,"majorFR","9","USA","1","0","TP",8,124,"0","0","0","0","0",2.8,4.5,0.866666666666667,66.82768035283,60.1202197118872,NA,"[50,100)"
"9291",393012,"Comédie",524,15627965,"majorFR","5","F100","0","0","TP",6,91,"0","0","0","0","0",NA,3,0.0666666666666667,80.9198781896461,94.6419318064048,70.7738944365193,"[400,600)"
"9292",468117,"Drame",144,9804000,"majorFR","9","EUROPE","1","0","TP",6,118,"1","0","0","0","0",4.8,3.25,0.866666666666667,83.0515593825475,67.5614053269769,61.8669757489301,"[100,200)"
"9293",354474,"ComDram",415,12399453,"majorFR","5","MAJO","0","0","TP",6,92,"0","0","0","0","0",NA,5,0.0666666666666667,79.4602541216003,90.8798839257954,66.8152639087019,"[400,600)"
"9294",76478,"Drame",82,NA,"majorFR","9","EUROPE","1","0","TP",6,106,"0","0","1","0","0",3,3.75,0.666666666666667,58.5004725401659,58.275468960514,NA,"[50,100)"
"9295",106320,"Drame",64,3992608,"majorFR","9","F100","1","0","TP",2,108,"0","0","0","0","0",3,2.66666666666667,0.8,63.0998634883965,54.243963104985,39.9251069900143,"[50,100)"
"9296",792145,"Comédie",330,6157708,"majorFR","9","MAJO","0","0","TP",4,103,"0","0","0","0","0",NA,4,0.0666666666666667,89.2470860023102,86.0607316820396,51.0164051355207,"[200,400)"
"9297",1488913,"Horreur",262,32680000,"majorUS","5","USA","0","0","12",8,134,"0","0","0","0","0",3,3.75,0.466666666666667,94.4555287199412,80.9462120426987,84.0139087018545,"[200,400)"
"9298",513131,"ComDram",306,NA,"majorUS","9",NA,"0","0","TPA",9,114,"0","0","0","0","0",2.5,3.75,0.8,84.3326682768035,84.480257021453,NA,"[200,400)"
"9299",42226,"Comédie",100,NA,"majorUS","9","USA","0","0","TP",1,86,"0","0","0","0","0",2.5,3.33333333333333,0.6,49.8267352724982,61.3379624831589,NA,"[100,200)"
"9300",3824693,"Sci-Fi",805,147060000,"majorUS","majorUS","EUROPE","0","0","TP",7,133,"0","0","0","0","0",3,4,0.4,98.8028982463509,99.2071717276402,98.8676890156919,"[600,1100]"
